base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,combo_key,Profit_Diff
0.1,0.03,500,15,1.05,Bullish,151.25,170.44,24,48.62,0.1_0.03_500_15_1.05,-19.189999999999998
0.1,0.025,250,15,1.05,Bullish,151.15,170.44,24,65.17,0.1_0.025_250_15_1.05,-19.289999999999992
0.1,0.02,500,15,1.05,Bullish,149.95,170.44,24,94.25,0.1_0.02_500_15_1.05,-20.49000000000001
0.3,0.02,500,15,1.05,Bullish,149.9,170.44,24,93.67,0.3_0.02_500_15_1.05,-20.539999999999992
0.1,0.035,750,15,1.05,Bullish,149.88,170.44,24,36.33,0.1_0.035_750_15_1.05,-20.560000000000002
0.1,0.04,750,15,1.1,Bullish,149.63,170.44,24,29.5,0.1_0.04_750_15_1.1,-20.810000000000002
0.1,0.025,500,15,1.1,Bullish,149.62,170.44,24,65.17,0.1_0.025_500_15_1.1,-20.819999999999993
0.1,0.025,250,15,1.1,Bullish,149.62,170.44,24,65.17,0.1_0.025_250_15_1.1,-20.819999999999993
0.3,0.025,500,15,1.05,Bullish,149.43,170.44,24,64.88,0.3_0.025_500_15_1.05,-21.00999999999999
0.3,0.025,750,15,1.1,Bullish,148.94,170.44,24,64.79,0.3_0.025_750_15_1.1,-21.5
0.15,0.03,250,15,1.05,Bullish,148.46,170.44,24,48.62,0.15_0.03_250_15_1.05,-21.97999999999999
0.15,0.025,250,15,1.1,Bullish,148.34,170.44,24,65.17,0.15_0.025_250_15_1.1,-22.099999999999994
0.15,0.025,750,15,1.1,Bullish,148.34,170.44,24,65.17,0.15_0.025_750_15_1.1,-22.099999999999994
0.1,0.025,500,15,1.15,Bullish,148.09,170.44,24,65.12,0.1_0.025_500_15_1.15,-22.349999999999994
0.1,0.025,250,15,1.15,Bullish,148.09,170.44,24,65.12,0.1_0.025_250_15_1.15,-22.349999999999994
0.1,0.025,750,15,1.15,Bullish,148.09,170.44,24,65.12,0.1_0.025_750_15_1.15,-22.349999999999994
0.1,0.04,250,15,1.15,Bullish,148.05,170.44,24,29.5,0.1_0.04_250_15_1.15,-22.389999999999986
0.2,0.025,500,15,1.1,Bullish,148.05,170.44,24,65.08,0.2_0.025_500_15_1.1,-22.389999999999986
0.25,0.02,250,15,1.1,Bullish,147.68,170.44,24,93.83,0.25_0.02_250_15_1.1,-22.75999999999999
0.25,0.02,250,15,1.1,Bullish,147.68,170.44,24,93.83,0.25_0.02_250_15_1.1,-22.75999999999999
0.15,0.03,250,15,1.1,Bullish,147.18,170.44,24,48.62,0.15_0.03_250_15_1.1,-23.25999999999999
0.15,0.03,500,15,1.1,Bullish,147.18,170.44,24,48.62,0.15_0.03_500_15_1.1,-23.25999999999999
0.15,0.03,500,15,1.1,Bullish,147.18,170.44,24,48.62,0.15_0.03_500_15_1.1,-23.25999999999999
0.15,0.025,250,15,1.15,Bullish,147.13,170.44,24,65.12,0.15_0.025_250_15_1.15,-23.310000000000002
0.15,0.04,250,15,1.1,Bullish,146.91,170.44,24,29.5,0.15_0.04_250_15_1.1,-23.53
0.15,0.04,500,15,1.1,Bullish,146.91,170.44,24,29.5,0.15_0.04_500_15_1.1,-23.53
0.2,0.03,250,15,1.05,Bullish,146.68,170.44,24,48.58,0.2_0.03_250_15_1.05,-23.75999999999999
0.3,0.04,750,15,1.1,Bullish,146.41,170.44,24,29.38,0.3_0.04_750_15_1.1,-24.03
0.15,0.025,750,15,1.2,Bullish,146.07,170.44,24,65.04,0.15_0.025_750_15_1.2,-24.370000000000005
0.15,0.025,500,15,1.2,Bullish,146.07,170.44,24,65.04,0.15_0.025_500_15_1.2,-24.370000000000005
0.15,0.03,250,15,1.15,Bullish,145.88,170.44,24,48.58,0.15_0.03_250_15_1.15,-24.560000000000002
0.2,0.04,500,15,1.1,Bullish,145.77,170.44,24,29.46,0.2_0.04_500_15_1.1,-24.669999999999987
0.3,0.03,500,15,1.05,Bullish,145.5,170.44,24,48.46,0.3_0.03_500_15_1.05,-24.939999999999998
0.2,0.03,500,15,1.1,Bullish,145.48,170.44,24,48.54,0.2_0.03_500_15_1.1,-24.960000000000008
0.2,0.03,750,15,1.1,Bullish,145.48,170.44,24,48.54,0.2_0.03_750_15_1.1,-24.960000000000008
0.2,0.02,500,15,1.2,Bullish,145.12,170.44,24,93.79,0.2_0.02_500_15_1.2,-25.319999999999993
0.25,0.03,250,15,1.1,Bullish,144.72,170.44,24,48.5,0.25_0.03_250_15_1.1,-25.72
0.25,0.03,500,15,1.1,Bullish,144.69,170.44,24,48.5,0.25_0.03_500_15_1.1,-25.75
0.15,0.02,500,15,1.2,Bullish,144.4,170.44,24,94.0,0.15_0.02_500_15_1.2,-26.039999999999992
0.2,0.03,250,15,1.15,Bullish,144.35,170.44,24,48.54,0.2_0.03_250_15_1.15,-26.090000000000003
0.2,0.03,500,15,1.15,Bullish,144.32,170.44,24,48.54,0.2_0.03_500_15_1.15,-26.120000000000005
0.15,0.04,500,15,1.2,Bullish,143.87,170.44,24,29.46,0.15_0.04_500_15_1.2,-26.569999999999993
0.2,0.03,250,15,1.2,Bullish,143.25,170.44,24,48.5,0.2_0.03_250_15_1.2,-27.189999999999998
0.15,0.035,500,15,1.2,Bullish,142.37,170.44,24,36.33,0.15_0.035_500_15_1.2,-28.069999999999993
0.2,0.035,750,15,1.15,Bullish,140.95,170.44,24,36.29,0.2_0.035_750_15_1.15,-29.49000000000001
0.25,0.035,500,15,1.1,Bullish,140.06,170.44,24,36.25,0.25_0.035_500_15_1.1,-30.379999999999995
0.25,0.035,500,15,1.1,Bullish,140.06,170.44,24,36.25,0.25_0.035_500_15_1.1,-30.379999999999995
0.2,0.035,750,15,1.2,Bullish,139.68,170.44,24,36.25,0.2_0.035_750_15_1.2,-30.75999999999999
0.3,0.035,500,15,1.05,Bullish,139.62,170.44,24,36.21,0.3_0.035_500_15_1.05,-30.819999999999993
0.3,0.035,250,15,1.1,Bullish,137.67,170.44,24,36.08,0.3_0.035_250_15_1.1,-32.77000000000001
